aX,aY,aZ,gX,gY,gZ
0.221,-0.789,1.069,10.498,-201.111,-276.672
0.365,-1.291,1.318,-3.235,-149.048,-264.771
0.424,-1.555,1.371,-1.160,-96.680,-155.334
0.443,-1.742,1.532,-63.293,-30.640,-54.810
0.402,-1.554,1.539,-34.546,-0.549,58.960
0.447,-1.220,1.264,-8.789,61.951,131.409
0.395,-1.139,0.935,-2.991,84.106,188.965
0.334,-0.982,0.887,19.348,106.079,275.818
0.204,-0.339,0.887,58.716,126.038,342.651
-0.038,0.452,0.811,68.665,147.705,350.769
-0.039,1.019,0.640,67.993,138.184,328.125
0.047,1.614,0.262,13.489,131.165,266.052
0.063,1.723,-0.294,26.245,121.887,215.088
0.122,1.686,-0.246,16.052,36.804,132.324
0.242,2.322,-0.126,7.141,36.804,18.311
0.179,1.986,-0.391,34.912,-24.414,-89.844
0.223,1.633,-0.065,26.855,-78.247,-158.630
0.226,1.436,0.124,-6.958,-93.384,-217.163
0.145,1.048,0.279,-19.714,-104.553,-255.798
0.125,0.516,0.485,-2.319,-121.460,-289.673
0.220,-0.096,0.567,29.419,-135.315,-294.189
0.311,-0.604,0.921,-13.306,-125.793,-257.324
0.580,-0.540,1.338,-50.964,-98.450,-180.664
0.573,-0.946,1.037,2.869,-47.668,-164.124
0.646,-1.043,1.032,-32.227,-26.611,-87.158
0.686,-0.891,1.049,-38.757,-5.493,-24.841
0.545,-1.048,0.855,10.376,17.639,31.433
0.623,-0.721,0.923,5.737,31.799,110.352
0.569,-0.544,0.774,34.424,42.969,171.082
0.561,0.065,0.837,3.601,93.323,207.153
0.521,0.360,0.471,-16.052,140.381,188.293
0.631,0.886,0.433,26.917,91.492,193.481
0.592,0.967,0.508,-5.981,79.102,134.827
0.665,0.915,0.141,4.822,92.590,91.003
0.720,0.808,0.295,18.799,14.587,64.880
0.632,0.875,0.255,-19.897,-2.991,35.278
0.703,1.034,0.305,-29.663,-25.269,-6.653
0.728,0.749,0.401,9.949,-21.240,-28.625
0.710,0.671,0.370,7.385,-18.005,-47.119
0.723,0.604,0.416,-6.958,-18.066,-73.914
0.731,0.285,0.472,-5.737,-17.090,-71.899
0.835,0.183,0.593,-9.155,-16.479,-44.983
0.809,0.242,0.572,-10.193,-1.343,-11.963
0.797,0.239,0.544,-5.554,-2.869,-9.094
0.827,0.178,0.561,1.953,-5.127,2.197
0.819,0.333,0.538,1.160,-0.732,5.554
0.813,0.331,0.528,-0.061,4.456,3.296
0.804,0.313,0.519,-0.061,5.615,6.470
0.800,0.389,0.459,-4.089,10.620,11.414
0.800,0.439,0.448,-8.911,10.132,9.216
0.775,0.405,0.452,-7.690,2.747,3.967
0.780,0.383,0.463,-3.845,1.343,1.709
0.759,0.441,0.422,3.906,6.104,7.019
0.762,0.415,0.442,7.812,15.625,-0.793
0.793,0.380,0.439,14.709,15.198,-7.019
0.883,0.387,0.484,15.564,13.062,-12.146
0.806,0.362,0.437,17.029,5.920,-5.493
0.828,0.363,0.480,1.770,-5.249,-3.601
0.820,0.366,0.502,5.371,-3.540,-3.784
0.806,0.370,0.466,5.737,0.916,-0.488
0.804,0.368,0.439,2.930,0.061,1.709
0.800,0.359,0.443,1.282,-1.343,4.395
0.805,0.384,0.461,-0.305,-2.075,0.732
0.808,0.385,0.469,3.784,-4.089,-4.822
0.800,0.394,0.454,0.610,-3.296,-6.531
0.802,0.346,0.470,-2.319,-2.930,-4.578
0.805,0.347,0.479,-0.366,-0.366,-2.014
0.812,0.393,0.468,-1.160,-4.272,-12.512
0.821,0.359,0.467,-3.906,-12.756,-23.437
0.809,0.306,0.494,-4.883,-6.897,-17.822
0.804,0.313,0.458,-1.892,4.333,-2.014
0.817,0.324,0.474,-3.906,1.892,-0.916

0.822,0.374,0.459,0.183,1.038,1.465
0.816,0.335,0.477,1.770,-3.235,-1.465
0.813,0.338,0.479,1.282,-2.075,0.549
0.817,0.354,0.484,-2.075,4.456,4.944
0.810,0.384,0.436,-1.221,4.333,1.892
0.810,0.337,0.467,1.770,-2.502,-2.747
0.806,0.340,0.468,2.441,-3.967,-1.343
0.810,0.346,0.466,2.136,-2.258,1.892
0.808,0.380,0.469,1.709,-2.258,-0.366
0.812,0.385,0.464,-0.305,0.427,-3.418
0.844,0.457,0.481,-3.723,-2.319,-10.925
0.905,0.504,0.555,-7.446,-8.301,-30.457
0.951,0.444,0.651,10.437,-24.841,-57.495
0.850,0.144,0.618,-113.586,-46.997,-61.462
0.948,-0.623,1.418,-239.502,73.181,50.232
0.853,-1.163,1.185,-42.114,159.546,121.948
0.373,-0.972,0.884,11.353,198.608,271.790
0.107,0.327,0.704,4.272,226.196,335.022
-0.227,1.333,0.090,-48.523,276.550,336.121
-0.477,2.362,-1.316,10.742,253.540,287.048
-0.501,3.305,-1.674,28.503,47.729,55.786
-0.377,2.146,-0.874,35.889,-76.599,-156.677
-0.294,2.038,-0.718,3.174,-90.515,-226.990
-0.337,1.726,-0.244,-23.315,-143.311,-298.523
-0.456,1.213,-0.029,-41.809,-187.500,-383.545
-0.599,0.591,0.182,-50.659,-234.070,-440.674
-0.522,-0.125,0.578,-49.316,-241.028,-457.458
-0.241,-1.229,1.133,-61.890,-229.492,-392.029
0.342,-1.781,1.812,-87.708,-168.091,-294.739
0.346,-1.947,1.131,21.973,-77.454,-186.096
0.435,-1.879,1.456,-2.563,-70.374,-44.678
0.486,-1.724,1.619,-27.588,47.791,72.021
0.556,-1.203,1.321,-2.075,163.391,144.409
0.514,-0.924,1.035,24.963,179.443,194.946
0.303,-0.733,1.164,66.467,151.855,276.001
0.076,0.132,0.921,44.495,205.322,371.460
-0.228,1.039,0.231,42.236,242.249,372.742
-0.221,1.413,-0.500,22.583,185.120,375.549
-0.138,2.184,-0.887,180.237,147.034,262.085
-0.015,1.509,-0.851,87.524,9.827,123.291
0.073,2.363,-0.603,55.847,8.850,42.480
0.174,2.456,-0.696,41.504,17.944,-123.596
0.205,1.504,-0.684,36.194,-68.604,-118.286
0.291,1.407,-0.243,47.729,-116.882,-146.851
0.215,1.517,-0.003,9.949,-130.249,-220.337
0.071,1.028,0.314,-37.170,-119.385,-297.913
0.170,0.818,0.442,-75.073,-94.421,-398.926
0.177,0.211,0.463,-77.087,-164.001,-304.810
0.134,-0.174,0.742,-85.144,-189.697,-264.954
0.210,-0.746,1.329,-89.905,-167.969,-271.790
0.283,-1.623,1.579,-52.307,-86.121,-248.840
0.332,-2.144,1.688,-53.223,46.997,-73.730
0.427,-1.638,1.150,-49.561,65.918,16.541
0.479,-1.141,1.063,-12.756,51.025,86.670
0.464,-1.063,0.982,14.893,62.073,109.070
0.406,-1.132,1.009,19.958,81.116,178.772
0.333,-0.799,0.882,56.824,102.905,283.997
0.125,0.051,0.783,83.496,141.174,359.924
0.124,0.770,0.532,77.209,157.043,349.792
0.043,0.805,0.227,70.923,168.701,317.566
0.010,1.280,0.206,72.083,144.409,309.937
0.113,1.838,-0.203,104.797,147.278,275.452
0.027,2.062,-0.616,30.884,82.703,153.992
0.157,2.029,-0.048,-14.099,8.362,17.273
0.235,2.169,-0.421,28.076,11.230,-94.299
0.159,1.910,-0.319,10.315,-63.171,-172.424
0.165,1.586,-0.104,-39.673,-88.318,-236.145
0.026,1.269,0.150,-38.513,-166.809,-306.213
-0.090,0.842,0.314,-55.298,-173.218,-351.929
-0.021,0.259,0.468,-46.448,-196.655,-351.990
0.070,-0.198,0.874,-74.585,-194.519,-328.186
0.212,-0.839,1.330,-78.186,-131.592,-274.048
0.432,-1.345,1.438,-56.091,-59.570,-210.144
0.395,-1.308,1.280,-33.691,-26.550,-114.075
0.456,-1.412,1.424,-45.532,6.104,-38.513
0.456,-1.442,1.142,-0.244,40.100,27.039
0.360,-1.482,0.935,17.761,40.405,111.755
0.337,-1.237,1.014,24.170,87.891,201.172
0.229,-0.746,0.943,47.058,105.164,297.485
0.170,-0.134,0.817,56.091,127.197,335.632
0.169,0.606,0.640,39.734,145.447,345.581
0.235,1.047,0.413,-60.913,165.527,280.396
0.262,0.993,0.309,147.278,162.354,286.194
0.063,1.365,-0.175,104.858,170.898,317.139
0.030,2.093,-0.377,3.540,95.520,213.867
0.156,2.166,-0.214,5.737,39.185,54.077
0.204,1.708,-0.205,71.716,10.254,-50.171
0.251,1.570,-0.166,19.836,-43.945,-106.262
0.275,1.485,0.078,-15.259,-85.144,-166.260
0.254,1.045,0.271,-5.371,-121.155,-244.507
0.223,0.503,0.312,15.137,-137.634,-312.073
0.333,0.040,0.764,6.287,-192.810,-321.655
0.490,-0.464,1.106,-19.348,-147.278,-275.452
0.675,-0.745,1.095,-91.370,-49.622,-191.284
0.658,-0.898,0.966,-60.730,-10.559,-128.601
0.715,-0.816,0.819,-30.396,-7.080,-51.208
0.724,-0.770,0.789,3.052,-8.728,-11.658
0.708,-0.803,0.761,16.052,-10.620,49.561
0.660,-0.628,0.790,24.658,7.385,106.995
0.708,-0.383,0.724,19.409,24.719,140.442
0.695,0.031,0.754,2.930,49.377,168.640
0.684,0.526,0.587,2.808,57.434,133.301
0.679,0.517,0.421,7.141,49.805,107.239
0.733,0.736,0.504,8.606,34.363,75.867
0.711,0.774,0.372,5.798,44.922,28.259
0.730,0.619,0.296,18.616,21.851,1.404
0.789,0.609,0.444,15.381,-0.122,-8.911
0.826,0.653,0.497,9.583,-8.118,-29.663
0.816,0.387,0.510,5.859,-15.503,-41.626
0.793,0.273,0.537,-2.197,-16.296,-11.719
0.807,0.258,0.557,-3.357,-11.292,-1.709
0.803,0.237,0.577,2.747,-12.268,-4.700
0.796,0.233,0.572,3.967,-9.583,-4.211
0.788,0.206,0.577,-2.075,-3.357,-0.916
0.812,0.251,0.590,-4.211,2.869,5.920
0.797,0.276,0.563,-1.404,1.587,1.831
0.798,0.265,0.575,2.197,-1.526,-1.953
0.782,0.260,0.548,4.028,-0.122,0.000
0.796,0.310,0.554,1.831,1.465,5.249
0.780,0.303,0.517,0.793,1.465,2.441
0.787,0.300,0.544,1.953,-2.136,1.953
0.787,0.301,0.546,2.380,-1.343,2.136
0.790,0.279,0.550,0.244,-2.380,1.526
0.796,0.292,0.547,1.221,-1.404,1.526
0.785,0.301,0.539,-2.502,2.380,-1.160

