aX,aY,aZ,gX,gY,gZ
0.760,0.071,0.656,0.366,-0.549,-0.122
0.758,0.065,0.658,-0.610,0.549,-0.427
0.757,0.066,0.658,0.305,0.427,0.000
0.757,0.065,0.660,-0.427,-0.183,0.122
0.758,0.065,0.655,0.793,-0.488,-0.061
0.758,0.070,0.657,-0.061,0.000,0.427
0.762,0.076,0.659,0.183,0.244,0.244
0.761,0.069,0.654,-0.061,0.305,-0.305
0.759,0.068,0.658,0.305,-0.183,-0.366
0.760,0.067,0.658,0.122,-0.122,-0.732
0.757,0.064,0.664,-0.122,0.244,-0.183
0.760,0.066,0.658,0.244,0.366,-0.488
0.757,0.065,0.653,0.427,-0.061,-0.305
0.761,0.068,0.655,-0.122,0.000,0.000
0.758,0.065,0.661,0.244,-0.183,-1.038
0.757,0.067,0.661,0.000,0.305,-0.122
0.759,0.067,0.656,0.061,0.000,-0.427
0.760,0.064,0.657,0.183,0.061,-0.671
0.756,0.060,0.652,0.244,0.366,-0.061
0.760,0.064,0.653,0.122,0.061,0.366
0.758,0.064,0.655,0.488,-0.549,-0.244
0.759,0.067,0.660,0.000,0.061,0.244
0.761,0.072,0.656,0.305,0.183,0.366
0.761,0.069,0.661,-0.244,0.305,-0.549
0.761,0.068,0.661,0.122,0.122,-0.427
0.755,0.062,0.648,-0.427,0.610,-0.610
0.757,0.062,0.655,-0.061,-0.244,-0.122
0.759,0.061,0.659,0.061,-0.183,-0.610
0.755,0.060,0.657,0.305,-0.183,-0.061
0.760,0.069,0.657,-0.244,0.305,0.732
0.761,0.069,0.658,0.061,0.122,-0.122
0.759,0.067,0.659,0.244,0.000,0.000
0.761,0.070,0.659,0.000,0.244,-0.061
0.757,0.063,0.655,0.183,0.183,-0.244
0.760,0.068,0.650,0.549,0.000,0.122
0.759,0.065,0.658,-0.122,0.122,-0.488
0.760,0.067,0.660,-0.183,0.305,-0.061
0.760,0.065,0.656,0.000,0.061,-0.549
0.757,0.061,0.657,0.122,0.244,-0.061
0.759,0.066,0.655,0.183,0.427,-0.305
0.758,0.062,0.658,0.305,0.000,-0.244
0.762,0.070,0.657,0.244,0.244,0.122
0.758,0.062,0.655,-0.183,0.183,-0.244
0.757,0.066,0.656,0.732,-0.305,0.305
0.762,0.065,0.659,0.061,0.366,-0.244
0.756,0.064,0.652,0.122,0.427,0.244
0.763,0.068,0.658,0.183,-0.183,0.000
0.759,0.066,0.656,0.854,-0.366,-0.427
0.758,0.064,0.660,-0.305,0.061,0.122
