aX,aY,aZ,gX,gY,gZ
0.283,0.317,0.911,-7.141,-12.146,24.292
0.318,0.294,0.957,4.883,-11.841,-5.371
0.153,0.313,0.960,-2.441,0.549,-29.480
0.281,0.316,0.936,4.211,-1.648,-12.512
0.318,0.323,0.923,0.122,-12.817,17.151
0.294,0.310,0.925,-15.198,-3.723,-2.075
0.147,0.355,0.957,-20.874,5.554,-17.151
0.199,0.364,0.910,-10.010,-11.536,4.517
0.248,0.405,0.932,-10.010,-13.306,4.211
0.236,0.446,0.955,-6.836,-12.207,-5.432

0.248,0.365,0.903,1.892,-9.338,1.038
0.259,0.355,0.916,6.165,-9.521,0.732
0.251,0.357,0.896,7.874,-8.240,-0.366
0.238,0.360,0.879,4.578,-8.972,4.089
0.235,0.360,0.890,1.282,-10.620,7.202
0.236,0.390,0.923,4.517,-9.521,7.812
0.216,0.411,0.916,5.493,-4.822,4.089
0.205,0.394,0.900,1.343,-5.554,4.395
0.204,0.392,0.895,-0.366,-7.019,6.592
0.209,0.400,0.932,0.427,-5.493,1.526
0.181,0.383,0.907,-0.977,-2.197,-0.977
0.188,0.389,0.907,-1.770,-2.991,2.441
0.203,0.396,0.925,0.977,-5.676,0.427
0.201,0.396,0.924,-0.366,-2.258,-1.465
0.192,0.385,0.893,-3.052,0.061,-1.526
0.196,0.372,0.879,-4.028,-3.113,1.221
0.206,0.379,0.894,-2.625,-6.836,3.662
0.207,0.365,0.882,-5.615,-6.592,1.892
0.215,0.345,0.865,-8.911,-9.094,4.883
0.217,0.325,0.856,-12.817,-13.489,9.644
0.251,0.251,0.886,-20.813,-21.423,21.362
0.303,0.188,0.981,-23.926,-26.367,46.326
0.292,0.210,1.015,-16.602,-26.428,53.772
0.286,0.190,1.030,-28.259,-24.902,69.519
0.249,0.242,1.026,-40.100,-21.179,91.064
0.158,0.366,1.015,-38.147,-18.311,94.971
0.100,0.439,1.129,-65.247,-20.081,101.013
0.051,0.576,1.118,-83.984,1.587,94.971
-0.033,0.650,1.015,-89.600,16.663,90.271
-0.080,0.823,0.984,-85.266,11.780,85.388
-0.085,0.923,0.987,-87.891,15.259,77.820
-0.118,0.992,0.961,-95.093,37.720,65.002
-0.163,1.145,0.854,-79.407,61.340,39.551
-0.219,1.123,0.696,-70.862,69.031,2.319
-0.247,1.210,0.666,-87.280,69.885,-20.325
-0.157,1.117,0.759,-64.941,73.120,-37.415
-0.169,0.964,0.656,-70.801,91.675,-63.599
-0.225,1.092,0.598,-64.270,98.877,-88.074
-0.149,0.945,0.473,-42.480,70.984,-93.689
-0.105,0.881,0.486,-54.810,53.528,-89.539
-0.072,1.007,0.492,-48.645,70.007,-98.572
-0.088,0.936,0.360,-53.833,84.351,-126.648
-0.090,0.977,0.288,-67.810,75.195,-125.977
-0.029,0.922,0.238,-69.336,52.124,-133.179
0.068,0.735,0.170,-72.876,31.921,-135.742
0.119,0.741,0.089,-69.214,20.264,-122.437
0.194,0.716,0.106,-74.951,3.052,-118.530
0.264,0.537,0.076,-84.656,-4.822,-108.215
0.243,0.519,0.015,-90.393,-26.306,-84.595
0.330,0.528,0.100,-77.942,-49.133,-72.327
0.366,0.515,0.120,-53.833,-63.293,-67.261
0.370,0.449,0.095,-52.490,-78.125,-54.993
0.423,0.322,0.120,-47.363,-94.055,-49.927
0.441,0.225,0.168,-20.569,-102.417,-61.340
0.464,0.126,0.253,-12.146,-116.028,-50.476
0.481,0.063,0.343,-16.968,-125.000,-25.818
0.555,0.038,0.425,-7.812,-133.362,-15.137
0.563,0.106,0.553,1.831,-132.507,-4.150
0.609,0.186,0.693,13.733,-114.990,8.606
0.537,0.250,0.679,33.508,-100.403,9.460
0.530,0.199,0.664,38.330,-110.413,15.198
0.597,0.185,0.857,45.959,-113.220,20.081
0.578,0.284,0.979,63.354,-98.999,18.921
0.534,0.231,0.940,70.007,-91.309,14.099
0.497,0.130,0.991,62.988,-89.172,26.062
0.553,0.204,1.164,53.711,-78.857,39.246
0.509,0.210,1.058,58.289,-50.049,39.001
0.423,0.247,0.974,46.936,-47.180,49.744
0.366,0.329,0.976,58.533,-47.485,48.706
0.482,0.284,1.119,58.105,-49.805,44.800
0.402,0.307,1.190,34.851,-22.034,51.941
0.374,0.248,1.099,41.626,-15.930,59.326
0.316,0.227,1.059,62.439,-28.992,37.109
0.289,0.245,1.105,47.485,-23.560,58.411
0.329,0.349,1.285,43.274,-3.235,59.387
0.322,0.288,1.182,40.771,10.498,45.898
0.242,0.150,1.063,24.658,13.794,50.659
0.208,0.165,1.027,28.442,22.339,75.134
0.254,0.286,1.084,35.339,20.874,63.782
0.223,0.240,1.093,4.822,35.400,75.073
0.164,0.250,1.059,2.686,54.138,81.604
0.146,0.419,1.042,24.414,64.026,82.092
0.218,0.424,0.979,21.423,60.303,69.092
0.181,0.333,0.903,-2.625,69.397,75.256
0.155,0.591,0.859,1.953,66.528,68.298
0.207,0.597,0.837,16.968,33.691,31.921
0.180,0.567,0.784,5.188,9.705,30.334
0.209,0.574,0.840,-1.404,-2.258,20.691
0.231,0.518,0.872,-1.831,-16.113,13.611
0.239,0.426,0.943,-1.343,-11.841,0.000
0.238,0.374,0.983,-0.244,-2.930,0.549
0.232,0.348,0.932,2.747,-6.165,-3.540
0.262,0.295,0.950,-0.305,-9.033,-5.798
0.269,0.259,0.911,-1.404,-5.920,-0.854
0.286,0.234,0.904,2.502,-7.996,0.427
0.265,0.244,0.911,5.127,-7.935,6.592
0.304,0.313,0.992,1.831,-4.272,5.249
0.287,0.243,0.948,1.892,-3.357,-4.028
0.281,0.239,0.908,4.150,-2.319,-3.784
0.279,0.240,0.887,10.803,-4.456,-1.282
0.279,0.254,0.899,10.254,-4.639,-2.136
0.309,0.286,0.976,3.662,4.089,-2.563
0.285,0.278,0.944,1.343,3.052,-0.610
0.282,0.269,0.919,7.202,-0.305,-0.793
0.286,0.292,0.939,3.296,-5.981,1.160
0.298,0.286,0.983,-0.854,-1.099,-1.038
0.271,0.259,0.968,-1.038,0.366,-0.427
0.271,0.265,0.965,-0.427,0.183,2.808
0.278,0.274,0.947,0.122,0.244,1.770
0.269,0.269,0.933,0.244,1.587,-0.427
0.272,0.258,0.938,-2.563,3.784,1.282
0.255,0.256,0.907,0.183,1.465,1.831
0.262,0.264,0.898,2.747,-1.465,2.258
0.254,0.274,0.925,1.282,-4.028,2.380
0.275,0.269,0.963,2.930,-2.625,1.770
0.273,0.294,0.954,3.235,2.686,0.732
0.254,0.269,0.921,-0.793,0.977,-0.732
0.267,0.268,0.925,-2.258,-1.038,3.479
0.271,0.272,0.920,-0.366,-2.014,-0.244
0.254,0.252,0.904,0.488,-1.953,-2.380
0.255,0.252,0.922,0.610,-2.869,1.404
0.283,0.276,0.979,0.061,-4.883,0.977
0.272,0.277,0.964,-0.549,1.099,-0.732
0.254,0.258,0.913,0.610,2.686,-3.235
0.265,0.266,0.919,1.770,-1.587,-1.770

0.260,0.205,0.916,-0.061,-5.127,-3.235
0.267,0.199,0.937,-1.404,-4.639,-0.854
0.260,0.202,0.931,1.038,-5.127,1.404
0.266,0.223,0.935,1.465,-6.042,2.563
0.265,0.238,0.961,-0.305,-3.296,2.869
0.261,0.250,0.962,2.502,-1.526,0.793
0.258,0.259,0.953,0.610,-1.953,1.709
0.263,0.279,0.966,0.549,-0.183,0.305
0.250,0.261,0.945,-1.526,-0.305,-0.610
0.252,0.259,0.931,-0.366,-1.221,-0.427
0.256,0.256,0.926,-0.854,-2.502,-0.610
0.249,0.217,0.898,-1.770,-3.479,-1.160
0.258,0.194,0.870,-1.709,-6.958,2.686
0.287,0.149,0.859,-2.869,-13.306,6.165
0.386,-0.010,0.839,-17.273,-19.470,10.071
0.342,-0.181,0.783,-36.438,-22.766,26.245
0.394,-0.029,0.979,-26.794,-19.592,58.655
0.402,0.300,1.119,-6.348,-8.789,69.763
0.402,0.334,1.205,-47.302,-11.230,66.528
0.308,0.239,1.219,-66.895,3.418,79.285
0.192,0.440,1.283,-46.509,6.226,92.468
0.138,0.557,1.318,-48.828,-7.568,112.305
0.139,0.500,1.211,-32.104,10.315,135.925
0.026,0.408,0.976,-6.226,16.785,116.455
0.018,0.536,0.864,-41.321,22.339,120.056
0.012,0.633,0.898,-69.641,9.277,96.497
-0.029,0.623,0.898,-95.703,24.780,79.895
-0.100,0.687,0.850,-97.839,32.593,68.848
-0.151,0.749,0.792,-110.657,36.438,57.373
-0.105,0.796,0.864,-122.437,44.617,39.185
-0.092,0.871,0.886,-102.722,68.787,22.583
-0.108,0.896,0.719,-81.543,67.810,23.682
-0.099,0.971,0.658,-78.308,71.594,1.831
-0.048,1.082,0.691,-74.219,80.017,-32.410
-0.083,1.222,0.771,-43.274,78.857,-56.580
-0.108,1.090,0.615,-77.454,57.190,-33.813
-0.086,1.096,0.656,-98.511,54.565,-38.025
-0.043,0.978,0.569,-84.900,62.805,-71.289
-0.049,0.998,0.479,-86.304,75.806,-94.666
-0.006,0.922,0.345,-92.346,68.176,-87.952
0.040,0.881,0.234,-102.295,56.458,-77.332
0.075,0.834,0.167,-100.342,47.668,-81.238
0.104,0.813,0.077,-89.355,36.072,-81.055
0.110,0.843,-0.002,-88.989,22.156,-86.914
0.143,0.810,-0.054,-96.558,4.944,-92.712
0.221,0.698,-0.011,-93.323,-21.484,-99.487
0.267,0.716,-0.011,-83.618,-32.715,-99.609
0.305,0.611,-0.068,-81.299,-47.485,-93.140
0.327,0.621,-0.084,-80.383,-56.763,-84.534
0.376,0.570,-0.042,-72.327,-69.031,-94.666
0.384,0.529,-0.021,-60.852,-77.881,-79.895
0.382,0.508,-0.012,-61.584,-94.482,-68.726
0.453,0.445,0.039,-50.598,-104.065,-72.266
0.476,0.370,0.045,-39.551,-112.427,-70.923
0.463,0.336,0.096,-41.687,-125.549,-47.302
0.550,0.316,0.158,-34.973,-139.587,-43.518
0.594,0.235,0.190,-20.386,-136.841,-48.523
0.476,0.183,0.241,-5.859,-144.104,-31.189
0.482,0.139,0.401,1.221,-167.419,-27.283
0.555,0.120,0.612,13.062,-164.124,-21.606
0.556,0.121,0.729,15.198,-147.949,-12.756
0.565,0.083,0.734,22.522,-131.104,-0.183
0.545,0.075,0.740,41.504,-123.474,1.587
0.472,0.126,0.776,54.749,-114.197,3.845
0.495,0.097,0.815,38.208,-107.422,18.188
0.493,0.068,0.953,46.814,-105.957,27.405
0.493,0.097,1.040,69.031,-89.416,29.785
0.455,0.121,1.055,67.261,-79.468,35.889
0.422,0.123,1.096,66.833,-69.580,40.649
0.509,0.136,1.232,61.096,-54.138,39.734
0.362,0.161,1.167,62.073,-20.874,38.269
0.422,0.099,1.058,79.102,-21.667,32.471
0.432,0.001,1.097,56.580,-30.762,43.518
0.366,0.084,1.280,33.752,-20.386,71.777
0.404,0.253,1.267,90.271,-20.447,48.340
0.386,0.124,1.168,70.068,-11.108,41.504
0.345,0.016,1.242,25.330,4.456,57.617
0.369,0.108,1.161,51.025,19.714,58.594
0.317,0.214,1.097,34.851,18.311,66.406
0.314,0.171,1.128,14.526,17.334,61.584
0.296,0.135,1.027,14.587,33.142,70.862
0.294,0.283,1.003,11.719,37.109,86.670
0.348,0.338,1.069,10.254,38.757,74.402
0.330,0.251,1.067,-4.333,56.213,76.477
0.315,0.407,1.046,-1.709,75.073,74.402
0.333,0.305,0.912,-3.845,69.397,61.035
0.312,0.241,0.847,-26.855,69.763,71.472
0.343,0.444,0.854,-23.193,62.744,79.651
0.335,0.522,0.780,-10.742,27.527,61.279
0.388,0.441,0.794,-7.263,12.634,38.757
0.353,0.383,0.744,-15.930,4.578,36.377
0.360,0.435,0.754,-17.029,-2.136,58.105
0.366,0.533,0.808,-12.756,-9.094,52.795
0.378,0.470,0.832,-6.592,-8.362,23.621
0.374,0.404,0.890,-3.540,-6.775,15.869
0.385,0.446,0.957,-9.094,3.113,26.428
0.387,0.458,0.903,-7.141,7.935,19.043
0.398,0.448,0.870,2.869,3.296,3.052
0.405,0.416,0.843,15.198,-2.136,-9.277
0.408,0.404,0.843,18.616,-4.150,-9.827
0.411,0.398,0.883,9.827,-0.488,-9.033
0.425,0.346,0.877,12.573,0.916,-12.146
0.412,0.304,0.851,19.897,2.014,-17.395
0.425,0.300,0.856,10.986,4.578,-14.282
0.425,0.274,0.844,10.254,-1.709,-10.925
0.432,0.288,0.856,9.644,-3.662,-9.155
0.414,0.313,0.853,6.470,-3.052,-2.197
0.425,0.323,0.865,2.686,-2.197,1.892
0.422,0.317,0.871,2.441,-1.709,0.305
0.417,0.314,0.896,3.357,1.831,-1.160
0.402,0.326,0.882,4.822,0.977,0.366
0.401,0.317,0.863,1.343,-0.793,2.014
0.407,0.319,0.877,-0.244,-0.244,3.967
0.404,0.318,0.876,0.305,-0.732,1.831
0.392,0.318,0.858,1.160,-0.488,1.343
0.391,0.310,0.852,-0.122,-2.563,2.625
0.404,0.324,0.878,-0.061,-2.319,3.113
0.397,0.324,0.879,-0.916,-1.770,1.465
0.407,0.311,0.876,-0.488,-2.136,0.000
0.397,0.299,0.848,1.587,-2.686,-0.488
0.394,0.291,0.856,0.732,-6.165,1.526
0.409,0.311,0.883,-1.709,-5.615,3.174
0.390,0.307,0.847,2.319,-2.319,-0.122
0.386,0.308,0.853,1.953,-4.883,0.000
0.394,0.299,0.869,-1.526,-6.470,3.662

0.352,0.306,0.888,-1.770,-2.258,2.441
0.346,0.314,0.883,1.038,-1.831,1.526
0.339,0.320,0.883,0.610,-3.113,2.625
0.334,0.328,0.881,0.488,-3.906,4.456
0.335,0.326,0.875,1.038,-5.615,2.808
0.338,0.317,0.878,0.977,-5.554,2.441
0.333,0.311,0.875,2.136,-7.507,3.174
0.328,0.302,0.860,2.686,-10.437,5.066
0.336,0.277,0.872,3.845,-16.296,10.864
0.380,0.231,0.901,3.296,-15.442,12.573
0.457,0.138,0.902,-0.122,-17.151,19.043
0.535,0.061,0.995,-14.221,-19.104,34.241
0.566,0.075,1.090,-35.767,-16.357,60.242
0.567,0.173,1.059,-30.884,-7.019,78.369
0.506,0.240,0.960,-26.855,-3.479,84.595
0.363,0.341,1.007,-39.612,-3.784,102.417
0.316,0.447,1.133,-69.519,-4.761,117.065
0.231,0.524,1.161,-75.439,2.075,118.652
0.177,0.716,1.083,-68.726,13.062,115.662
0.116,0.892,1.051,-68.787,24.536,99.609
0.037,0.947,0.969,-83.679,28.625,85.022
-0.007,0.884,0.836,-96.741,36.194,72.327
-0.037,0.975,0.767,-95.825,49.988,57.190
-0.105,1.125,0.767,-94.055,61.096,27.466
-0.058,1.071,0.729,-91.125,58.105,-1.465
-0.015,1.007,0.732,-100.525,54.932,-14.526
-0.037,1.027,0.673,-75.928,60.303,-38.147
-0.065,1.024,0.563,-69.580,54.138,-60.852
0.016,0.923,0.553,-88.013,37.903,-56.396
0.038,0.791,0.515,-94.421,55.542,-65.491
-0.002,0.796,0.397,-88.013,64.758,-79.651
-0.018,0.962,0.364,-96.741,59.204,-87.158
0.073,0.915,0.351,-90.576,57.495,-90.454
0.092,0.823,0.225,-84.229,51.270,-95.703
0.118,0.766,0.134,-76.355,43.762,-97.839
0.199,0.756,0.112,-85.022,35.645,-92.346
0.247,0.786,0.060,-88.989,29.175,-90.820
0.255,0.747,-0.085,-77.332,7.202,-83.618
0.303,0.735,-0.103,-82.825,-17.761,-74.829
