aX,aY,aZ,gX,gY,gZ
1.302,-1.319,0.824,68.726,109.558,-75.867
0.727,-1.003,0.477,11.353,9.460,57.678
-0.216,-0.476,1.007,18.982,-80.688,56.885
-0.448,-0.255,1.089,6.104,-36.743,27.100
-0.023,-0.365,0.752,-0.305,5.066,-23.743
0.371,-0.589,0.784,26.306,-0.610,-38.818
0.358,-0.587,0.909,24.658,3.235,-9.033
0.285,-0.517,0.775,6.592,19.958,2.502
0.340,-0.518,0.683,7.263,7.019,-9.277
0.334,-0.590,0.833,13.733,-19.470,-15.015
0.236,-0.573,0.900,15.930,-1.648,1.709
0.301,-0.535,0.756,10.498,10.620,5.371
0.337,-0.580,0.801,8.728,-0.732,1.526
0.229,-0.563,0.891,4.089,-9.399,5.981
0.205,-0.539,0.848,5.066,2.502,3.174
0.335,-0.579,0.759,2.747,-0.122,-6.836
0.334,-0.603,0.838,3.540,-13.123,-2.075
0.255,-0.571,0.870,-2.441,-7.935,8.972
0.202,-0.526,0.787,-6.897,2.075,2.380
0.255,-0.542,0.783,2.197,-1.831,-7.324
0.289,-0.601,0.876,-1.343,-7.568,-3.174
0.252,-0.592,0.885,-8.423,2.869,10.132
0.254,-0.590,0.810,-9.583,5.676,10.376
0.302,-0.596,0.794,-9.155,-1.831,13.245
0.275,-0.604,0.770,-7.080,-10.132,20.081
0.226,-0.627,0.737,4.578,-6.897,22.400
0.257,-0.690,0.788,2.319,-8.057,47.180
0.198,-0.649,0.795,-2.258,8.606,73.364
0.177,-0.651,0.768,0.061,19.775,68.848
0.216,-0.681,0.743,-2.686,16.113,61.401
0.287,-0.605,0.746,-7.568,27.832,69.885
0.316,-0.584,0.661,-15.869,39.612,76.294
0.343,-0.475,0.673,-22.339,35.278,77.087
0.367,-0.491,0.711,-17.334,40.222,78.064
0.453,-0.389,0.687,-32.227,39.978,69.092
0.529,-0.344,0.650,-35.339,39.490,55.664
0.535,-0.308,0.716,-32.471,22.583,51.697
0.619,-0.203,0.693,-32.104,38.330,53.894
0.602,-0.213,0.626,-32.288,48.828,55.420
0.645,-0.171,0.703,-24.109,40.894,52.185
0.735,-0.027,0.726,-20.447,43.274,54.871
0.674,-0.099,0.652,-35.522,41.077,47.668
0.715,-0.057,0.625,-42.480,30.090,33.264
0.706,0.073,0.587,-19.592,60.364,53.284
0.675,0.049,0.615,-15.747,61.707,45.349
0.711,0.062,0.667,-36.926,24.048,31.250
0.748,0.156,0.600,-32.776,39.246,33.569
0.745,0.179,0.529,-25.757,77.881,36.682
0.774,0.185,0.531,-34.790,63.477,29.846
0.788,0.205,0.591,-33.447,37.903,16.296
0.824,0.213,0.652,-24.475,40.527,9.155
0.888,0.265,0.681,-20.203,51.392,9.521
1.020,0.339,0.671,-24.170,36.194,-0.427
1.093,0.386,0.650,-10.193,7.874,-4.333
1.109,0.363,0.693,12.512,-17.334,-7.874
1.035,0.206,0.722,15.137,-23.010,-4.395
1.000,0.060,0.619,-2.686,-13.550,7.141
0.923,0.039,0.487,-6.226,-8.667,14.099
0.858,0.048,0.452,0.793,-1.343,19.531
0.747,0.091,0.467,3.540,3.174,21.301
0.709,0.098,0.498,1.892,-4.822,8.179
0.736,0.085,0.540,1.770,-11.902,0.366
0.794,0.065,0.582,1.526,-13.184,-6.226
0.812,0.070,0.601,3.296,-0.305,-2.136
0.859,0.067,0.583,-0.732,8.423,-1.770
0.895,0.074,0.555,-5.493,-0.854,-2.319
0.880,0.101,0.548,-5.493,0.183,0.488
0.879,0.104,0.516,-5.005,0.000,1.099
0.860,0.105,0.541,-2.808,-5.920,1.587
0.847,0.102,0.546,-2.808,-5.554,1.831
0.822,0.113,0.546,-1.343,-1.099,4.456
0.790,0.125,0.556,-0.549,-1.099,3.479
